"","Dataset","Motif","Volume"
"1",109,1,314
"2",109,1,2183
"3",109,2,2146
"4",109,3,366
"5",109,3,944
"6",109,3,1064
"7",109,3,1166
"8",109,3,1276
"9",109,3,1332
"10",109,3,1421
"11",109,3,1533
"12",109,3,1704
"13",109,3,1851
"14",109,3,1935
"15",109,3,2026
"16",109,3,2348
"17",109,4,784
"18",109,4,2145
"19",109,5,345
"20",109,5,1035
"21",109,5,1226
"22",109,5,1375
"23",109,5,1575
"24",109,5,1887
"25",109,5,2052
"26",109,5,2370
"27",109,6,2514
"28",109,7,2747
"29",109,8,240
"30",109,8,1635
"31",109,8,2072
"32",109,8,2149
"33",109,8,2212
"34",109,8,2418
"35",109,9,318
"36",109,9,370
"37",109,9,861
"38",109,9,1047
"39",109,9,1258
"40",109,9,1468
"41",109,9,1534
"42",109,9,1684
"43",109,9,1756
"44",109,9,1869
"45",109,9,1925
"46",109,9,2023
"47",109,9,2174
"48",109,9,2306
"49",109,10,789
"50",109,10,1651
"51",109,10,2214
"52",109,10,2287
"53",109,11,324
"54",109,11,762
"55",109,11,886
"56",109,11,986
"57",109,11,1476
"58",109,11,1602
"59",109,11,1676
"60",109,11,1759
"61",109,11,1896
"62",109,11,2022
"63",109,11,2111
"64",109,11,2180
"65",109,11,2239
"66",109,11,2309
"67",109,12,240
"68",109,12,283
"69",109,12,2149
"70",109,14,1635
"71",109,14,2072
"72",109,14,2212
"73",109,14,2418
"74",109,15,318
"75",109,15,370
"76",109,15,861
"77",109,15,1047
"78",109,15,1258
"79",109,15,1468
"80",109,15,1534
"81",109,15,1684
"82",109,15,1756
"83",109,15,1869
"84",109,15,1925
"85",109,15,2023
"86",109,15,2183
"87",109,15,2306
"88",153,1,302
"89",153,1,588
"90",153,2,42
"91",153,2,256
"92",153,2,560
"93",153,3,NA
"94",153,4,39
"95",153,4,559
"96",153,5,610
"97",153,5,638
"98",153,6,718
"99",153,7,1110
"100",153,8,48
"101",153,8,135
"102",153,8,253
"103",153,8,655
"104",153,9,223
"105",153,9,333
"106",153,9,402
"107",153,9,527
"108",153,9,611
"109",153,9,681
"110",153,10,493
"111",153,11,361
"112",153,11,451
"113",153,11,534
"114",153,12,115
"115",153,12,135
"116",153,12,256
"117",153,13,210
"118",153,13,223
"119",153,14,655
"120",153,15,333
"121",153,15,402
"122",153,15,527
"123",153,15,611
"124",153,15,681
"125",185,1,121
"126",185,1,1757
"127",185,2,1672
"128",185,3,171
"129",185,3,488
"130",185,3,678
"131",185,3,854
"132",185,3,1041
"133",185,3,1152
"134",185,3,1222
"135",185,3,2120
"136",185,3,2188
"137",185,3,2947
"138",185,4,NA
"139",185,5,199
"140",185,5,277
"141",185,5,773
"142",185,5,1066
"143",185,5,1262
"144",185,5,1382
"145",185,5,1538
"146",185,5,1628
"147",185,5,1820
"148",185,5,2058
"149",185,5,2276
"150",185,5,2656
"151",185,5,2748
"152",185,5,2869
"153",185,6,NA
"154",185,7,NA
"155",185,8,210
"156",185,8,305
"157",185,8,383
"158",185,8,521
"159",185,8,635
"160",185,8,720
"161",185,8,780
"162",185,8,805
"163",185,8,1104
"164",185,8,1322
"165",185,8,1511
"166",185,8,1587
"167",185,8,1637
"168",185,8,1716
"169",185,8,1770
"170",185,8,1979
"171",185,8,2525
"172",185,8,2581
"173",185,8,2693
"174",185,8,2806
"175",185,9,128
"176",185,9,276
"177",185,9,345
"178",185,9,427
"179",185,9,477
"180",185,9,557
"181",185,9,657
"182",185,9,748
"183",185,9,827
"184",185,9,947
"185",185,9,981
"186",185,9,1141
"187",185,9,1359
"188",185,9,1393
"189",185,9,1540
"190",185,9,1826
"191",185,9,1931
"192",185,9,2026
"193",185,9,2102
"194",185,9,2257
"195",185,9,2312
"196",185,9,2628
"197",185,9,2843
"198",185,9,2909
"199",185,9,2941
"200",185,10,519
"201",185,10,630
"202",185,10,704
"203",185,10,925
"204",185,10,1285
"205",185,10,1514
"206",185,10,1615
"207",185,10,1773
"208",185,10,1977
"209",185,10,2229
"210",185,10,2521
"211",185,10,2736
"212",185,10,2805
"213",185,11,124
"214",185,11,235
"215",185,11,421
"216",185,11,561
"217",185,11,654
"218",185,11,747
"219",185,11,799
"220",185,11,898
"221",185,11,986
"222",185,11,1110
"223",185,11,1362
"224",185,11,1456
"225",185,11,1579
"226",185,11,2026
"227",185,11,2260
"228",185,11,2629
"229",185,11,2714
"230",185,11,2839
"231",185,11,2888
"232",185,12,78
"233",185,12,1695
"234",185,12,1716
"235",185,13,2777
"236",185,14,210
"237",185,14,305
"238",185,14,383
"239",185,14,521
"240",185,14,635
"241",185,14,720
"242",185,14,780
"243",185,14,805
"244",185,14,1104
"245",185,14,1322
"246",185,14,1511
"247",185,14,1587
"248",185,14,1770
"249",185,14,1979
"250",185,14,2525
"251",185,14,2581
"252",185,14,2693
"253",185,14,2806
"254",185,15,128
"255",185,15,276
"256",185,15,345
"257",185,15,427
"258",185,15,477
"259",185,15,557
"260",185,15,657
"261",185,15,748
"262",185,15,830
"263",185,15,949
"264",185,15,981
"265",185,15,1141
"266",185,15,1366
"267",185,15,1393
"268",185,15,1540
"269",185,15,1826
"270",185,15,1931
"271",185,15,2026
"272",185,15,2102
"273",185,15,2257
"274",185,15,2312
"275",185,15,2628
"276",185,15,2843
"277",185,15,2909
"278",185,15,2941
"279",137,1,420
"280",137,2,844
"281",137,3,460
"282",137,3,526
"283",137,3,556
"284",137,3,764
"285",137,4,840
"286",137,5,596
"287",137,5,786
"288",137,6,NA
"289",137,7,NA
"290",137,8,254
"291",137,8,375
"292",137,8,598
"293",137,8,700
"294",137,8,808
"295",137,8,886
"296",137,8,932
"297",137,8,1057
"298",137,8,1099
"299",137,8,1145
"300",137,8,1181
"301",137,9,461
"302",137,9,528
"303",137,9,650
"304",137,9,764
"305",137,10,415
"306",137,10,605
"307",137,10,694
"308",137,11,442
"309",137,11,495
"310",137,11,557
"311",137,11,650
"312",137,11,740
"313",137,12,254
"314",137,12,375
"315",137,12,850
"316",137,12,886
"317",137,12,932
"318",137,12,1014
"319",137,12,1037
"320",137,12,1057
"321",137,12,1099
"322",137,12,1145
"323",137,12,1181
"324",137,12,1285
"325",137,12,1304
"326",137,12,1337
"327",137,13,871
"328",137,13,918
"329",137,13,1227
"330",137,13,1270
"331",137,13,1325
"332",137,14,420
"333",137,14,700
"334",137,14,808
"335",137,15,461
"336",137,15,528
"337",137,15,650
"338",137,15,764
"339",182,1,680
"340",182,1,2090
"341",182,2,1976
"342",182,3,849
"343",182,3,936
"344",182,3,997
"345",182,3,1096
"346",182,3,1242
"347",182,3,1282
"348",182,3,1452
"349",182,3,1626
"350",182,3,1698
"351",182,3,1810
"352",182,3,1898
"353",182,4,1976
"354",182,5,724
"355",182,5,974
"356",182,5,1176
"357",182,5,1346
"358",182,5,1772
"359",182,5,1944
"360",182,5,2096
"361",182,6,2174
"362",182,7,2610
"363",182,8,626
"364",182,8,1681
"365",182,8,2806
"366",182,8,2939
"367",182,9,384
